,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,2.60,,250.0u,,,2,3,,2,2,2
3,ISGS,,9.9m,50.0,,,4,,4,4,4,4
4,ISGS,,9.9m,50.0,,RV,5,,5,5,5,5
5,ISGS,,70n,30.0,,,6,,6,6,6,6
6,ISGS,,70n,30.0,,RV,7,,7,7,7,7
7,BVDSS,606,,250.0u,,,8,8,,8,8,8
9,BVDSS,606,,250.0u,,,10,10,,10,10,10
11,BVDSS,606,,1.0m,,,12,12,,12,12,12
13,BVDSS,606,,10.0m,,,14,14,,14,14,14
15,BVDSS,606,,25.0u,,,16,16,,16,16,16
17,ABSDEL,,5,10.0,8.0,,18,,18,18,18,18
18,ABSDEL,,10,10.0,16.0,,19,,19,19,19,19
19,ABSDEL,,5,10.0,12.0,,20,,20,20,20,20
20,DIVID,0.8,1.1,12.0,10.0,,21,22,21,21,21,21
22,DIVID,0.8,1.1,14.0,12.0,,23,24,23,23,23,23
24,VTH,2.60,3.90,250.0u,,,25,26,25,25,25,25
26,ABSDEL,,0.2,2.0,25.0,,27,,27,27,27,27
27,RDON,,9.8,0.5,10.0,,28,29,28,28,28,28
29,VFSD,0.5,1.2,1.0,0.0p,,30,,30,30,30,30
31,IDSS,,0.2u,600.0,,,32,,32,32,32,32
32,ISGS,,70n,30.0,,,33,,33,33,33,33
33,ISGS,,70n,30.0,,RV,34,,34,34,34,34
