,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,2.6,,250.0u,0.0p,,2,3,2,2,2,2
3,BVSGS,40,,10.0m,200.0,,4,4,5,4,4,4
5,BVSGS,40,,10.0m,200.0,RV,6,6,7,6,6,6
7,BVSGS,35,45,250.0u,200.0,,8,8,9,8,8,8
9,BVSGS,35,45,250.0u,200.0,RV,10,10,11,10,10,10
11,ISGS,,1u,25.0,10.0u,,12,,12,12,12,12
12,ISGS,,1u,25.0,10.0u,RV,13,,13,13,13,13
13,BVDSS,505,,250.0u,900.0,,14,14,,14,14,14
15,BVDSS,505,,250.0u,900.0,,16,16,,16,16,16
17,BVDSS,505,,1.0m,900.0,,18,18,,18,18,18
19,BVDSS,505,,10.0m,900.0,,20,20,,20,20,20
21,BVDSS,505,,25.0u,900.0,,22,22,,22,22,22
23,ABSDEL,,,16.0,14.0,,24,,,24,24,24
24,ABSDEL,,,16.0,22.0,,25,,,25,25,25
25,ABSDEL,,5,16.0,18.0,,26,,26,26,26,26
26,DIVID,,,18.0,16.0,,27,,,27,27,27
28,DIVID,,,20.0,18.0,,29,,,29,29,29
30,VTH,2.6,4.4,250.0u,1332.0,,31,32,31,31,31,31
32,ABSDEL,,0.2,2.0,31.0,,33,,33,33,33,33
33,RDON,,2.45,1.0,10.0,,34,35,34,34,34,34
35,RDON,,2.45,1.25,10.0,,36,37,36,36,36,36
37,VFSD,0.43,,50.0u,0.0p,,38,38,,38,38,38
38,VFSD,0.5,1.2,2.5,0.0p,,39,39,40,39,39,39
40,IDSS,,200n,500.0,1.0u,,41,,41,41,41,41
41,ISGS,,1u,25.0,10.0u,,42,,42,42,42,42
42,ISGS,,1u,25.0,10.0u,RV,43,,43,43,43,43
