,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,3,7,50.0u,0.0p,,2,3,2,2,2,2
3,ISGS,,100u,40.0,,,4,,4,4,,4
4,ISGS,,100u,40.0,,RV,5,,5,5,,5
5,VTH,4.4,6.6,8.0m,0.0p,,6,7,6,6,6,6
7,ABSDEL,,1.5,6.0,2.0,,8,,8,8,8,8
8,ISGS,,90n,20.0,,,9,,9,9,9,9
9,ISGS,,90n,20.0,,RV,10,,10,10,,10
10,BVCES,660,,100.0u,,,11,11,,11,,11
11,BVCES,660,,250.0u,,,12,12,,12,,12
12,BVCES,660,,1.0m,,,13,13,,13,,13
13,ABSDEL,,50,13.0,12.0,,14,,14,14,14,14
14,ICES,,2u,660.0,,,15,,15,15,,15
15,HVDSON,1.32,1.8,80.0,15.0,,16,17,16,16,16,16
17,VFEC,0.30,,0.1,0.0p,,18,18,,18,18,18
18,VFEC,0.67,1.48,8.0,0.0p,,19,20,19,19,19,19
20,HVFEC,1.27,2.08,80.0,0.0p,RV,21,22,21,21,21,21
22,ICES,,2u,650.0,,,23,,23,23,,23
23,ISGS,,90n,20.0,,,24,,24,24,,24
24,ISGS,,90n,20.0,,RV,25,,25,25,,25
