,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,3.7,6.9,250.0u,0.0p,,2,3,2,2,2,2
3,VTH,4.6,6.9,15.0m,0.0p,,4,5,4,4,4,4
5,ISGS,,100u,40.0,,,6,,6,6,,6
6,ISGS,,100u,40.0,,RV,7,,7,7,,7
7,VTH,4.6,6.9,15.0m,0.0p,,8,9,8,8,8,8
9,ISGS,,90n,20.0,,,10,,10,10,,10
10,ISGS,,90n,20.0,,RV,11,,11,11,,11
11,HVICES,,1u,1.2k,,,12,,12,12,,12
12,VDSON,1.5,2.2,15.0,15.0,,13,14,13,13,13,13
14,HVBCES,1.23k,,250.0u,,,15,15,,15,,15
15,HVBCES,1.23k,,1.0m,,,16,16,,16,,16
16,HVBCES,1.23k,,250.0u,,,17,17,,17,,17
17,VFEC,0.2,0.5,100.0u,0.0p,,18,19,18,18,18,18
19,VFEC,0.9,1.4,1.5,0.0p,,20,21,20,20,20,20
21,VFEC,1.65,2.65,15.0,0.0p,,22,23,22,22,22,22
23,HVICES,,1u,1.2k,,,24,,24,24,,24
24,ISGS,,90n,20.0,,,25,,25,25,,25
25,ISGS,,90n,20.0,,RV,26,,26,26,,26
