ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,4,7,2.0m,0.0p,,2,3,2,2,2,2
ISGS,,100u,40.0,,,4,,4,4,,4
ISGS,,100u,40.0,,RV,5,,5,5,,5
VTH,4.5,6.5,2.0m,0.0p,,6,7,6,6,6,6
ICES,,1.0u,600.0,,,9,,9,9,,9
ICES,,1.0u,610.0,,,10,,10,10,,10
BVCES,610,,250.0u,,,12,12,,12,,12
BVCES,610,,1.0m,,,13,13,,13,,13
BVCES,610,,250.0u,,,14,14,,14,,14
BVCES,610,,250.0u,,,15,15,,15,,15
HVDSON,1.50,1.95,20.0,15.0,,16,17,16,16,16,16
VFEC,0.15,0.55,100u,0.0p,,18,19,18,18,18,18
VFEC,0.7,1.3,2.0,0.0p,,20,21,20,20,20,20
HVFEC,1.1,2.2,20.0,0.0p,RV,22,23,22,22,22,22
ICES,,1.00u,600.0,,,24,,24,24,,24
ISGS,,90.0n,25.0,,,25,,25,25,,25
ISGS,,90.0n,25.0,,RV,26,,26,26,,26
