,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,3.6,7.6,30.0m,0.0p,,2,3,2,2,2,2
3,ISGS,,100u,40.0,,,4,,4,4,,4
4,ISGS,,100u,40.0,,RV,5,,5,5,,5
5,VTH,5.05,7.15,30.0m,0.0p,,6,7,6,6,6,6
7,ABSDEL,,100m,2.0,6.0,,8,,8,8,8,8
8,ISGS,,90n,20.0,,,9,,9,9,,9
9,ISGS,,90n,20.0,,RV,10,,10,10,,10
10,HVICES,,1u,0.95k,,,11,,11,11,,11
11,HVICES,,1u,1.05k,,,12,,12,12,,12
12,HVICES,,1u,1.12k,,,13,,13,13,,13
13,ABSDEL,,0.5u,12.0,11.0,,14,,14,14,14,14
14,ABSDEL,,0.7u,13.0,11.0,,15,,15,15,15,15
15,HVDSON,1.28,1.82,30.0,15.0,,16,17,16,16,16,16
17,HVFEC,1.75,2.65,30.0,0.0p,RV,18,19,18,18,18,18
19,HVICES,,1u,1.1k,,,20,,20,20,,20
20,ISGS,,90n,20.0,,,21,,21,21,,21
21,ISGS,,90n,20.0,,RV,22,,22,22,,22
