,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,4.2,5.7,1.0m,0.0p,,2,3,2,2,2,2
3,ISGS,,100u,60.0,,,4,,4,4,,4
4,ISGS,,100u,60.0,,RV,5,,5,5,,5
5,VTH,4.2,5.7,1.0m,0.0p,,6,7,6,6,6,6
7,ABSDEL,,0.1,2.0,6.0,,8,,8,8,8,8
8,HVICES,,2u,1.2k,,,9,,9,9,,9
9,HVICES,,2u,1.25k,,,10,,10,10,,10
10,ABSDEL,,1u,10.0,9.0,,11,,11,11,11,11
11,HVBCES,1.25k,,250.0u,,,12,12,13,12,,12
13,HVBCES,1.25k,,1.0m,,,14,14,15,14,,14
15,HVBCES,1.25k,,250.0u,,,16,16,17,16,,16
17,HVBCES,1.25k,,250.0u,,,18,18,19,18,,18
19,ABSDEL,,40,14.0,12.0,,20,,20,20,20,20
20,HIDON,,35,5.0,8.0,,21,,21,21,21,21
21,HIDON,,65,5.0,9.0,,22,,22,22,22,22
22,ABSDEL,9,,22.0,21.0,,23,23,,23,23,23
23,HVDSON,1.5,2.38,30.0,15.0,,24,25,24,24,24,24
25,ICEO,,1.2m,2.0,,RV,26,,26,26,,26
26,HVICES,,2u,1.25k,,,27,,27,27,,27
27,ISGS,,70n,25.0,,,28,,28,28,,28
28,ISGS,,70n,25.0,,RV,29,,29,29,,29
