,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,4.2,5.7,1.0m,0.0p,,2,3,2,2,2,2
3,ISGS,,100u,60.0,,,4,,4,4,,4
4,ISGS,,100u,60.0,,RV,5,,5,5,,5
5,VTH,4.2,5.7,1.0m,0.0p,,6,7,6,6,6,6
7,ABSDEL,,0.1,2.0,6.0,,8,,8,8,8,8
8,ISGS,,70n,25.0,,,9,,9,9,,9
9,ISGS,,70n,25.0,,RV,10,,10,10,,10
10,HVICES,,2u,1.2k,,,11,,11,11,,11
11,HVICES,,2u,1.25k,,,12,,12,12,,12
12,ABSDEL,,1u,12.0,11.0,,13,,13,13,13,13
13,HVBCES,1.25k,,250.0u,,,14,14,15,14,,14
15,HVBCES,1.25k,,1.0m,,,16,16,17,16,,16
17,HVBCES,1.25k,,250.0u,,,18,18,19,18,,18
19,HVBCES,1.25k,,250.0u,,,20,20,21,20,,20
21,ABSDEL,,40,16.0,14.0,,22,,22,22,22,22
22,HIDON,,35,5.0,8.0,,23,,23,23,23,23
23,HIDON,,65,5.0,9.0,,24,,24,24,24,24
24,ABSDEL,9,,24.0,23.0,,25,,25,25,25,25
25,VDSON,0.5,1.1,0.8,15.0,,26,,26,26,26,26
27,HVDSON,1.5,2.38,30.0,15.0,,28,29,28,28,28,28
29,ICEO,,1.20m,2.0,,RV,30,,30,30,,30
30,HVICES,,2u,1.25k,,,31,,31,31,,31
31,ISGS,,70n,25.0,,,32,,32,32,,32
32,ISGS,,70n,25.0,,RV,33,,33,33,,33
