,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,4,7,3.0m,0.0p,,2,3,2,2,2,2
3,ISGS,,100u,40.0,,,4,,4,4,,4
4,ISGS,,100u,40.0,,RV,5,,5,5,,5
5,ISGS,,90n,25.0,,,6,,6,6,,6
6,ISGS,,90n,25.0,,RV,7,,7,7,,7
7,VTH,4.5,6.5,3.0m,0.0p,,8,9,8,8,8,8
9,ABSDEL,,100m,2.0,8.0,,10,,10,10,10,10
10,ICES,,1u,600.0,,,11,,11,11,,11
11,ICES,,1u,610.0,,,12,,12,12,,12
12,ABSDEL,,0.5u,12.0,11.0,,13,,13,13,13,13
13,BVCES,610,,250.0u,,,14,14,,14,,14
14,BVCES,610,,1.0m,,,15,15,,15,,15
15,BVCES,610,,250.0u,,,16,16,,16,,16
16,BVCES,610,,250.0u,,,17,17,,17,,17
17,HVDSON,1.5,1.95,30.0,15.0,,18,19,18,18,18,18
19,VFEC,0.15,0.55,100.0u,0.0p,,20,21,20,20,20,20
21,VFEC,0.7,1.3,3.0,0.0p,,22,23,22,22,22,22
23,HVFEC,1.1,2.2,30.0,0.0p,RV,24,25,24,24,24,24
25,ICES,,1u,600.0,,,26,,26,26,,26
26,ISGS,,90n,25.0,,,27,,27,27,,27
27,ISGS,,90n,25.0,,RV,28,,28,28,,28
