,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,3.7,,250.0u,0.0p,,2,3,,2,2,2
3,VTH,4.5,,40.0m,0.0p,,4,5,,4,4,4
5,ISGS,,100.0u,40.0,,,6,,6,6,,6
6,ISGS,,100.0u,40.0,,RV,7,,7,7,,7
7,VTH,4.5,7.5,40.0m,0.0p,,8,9,8,8,8,8
10,HVICES,,1.5u,1.2k,,,11,,11,11,,11
11,HVDSON,1.3,2.2,40.0,15.0,,12,13,12,12,12,12
13,HVBCES,1.23k,,250.0u,,,14,14,,14,,14
14,HVBCES,1.23k,,1.0m,,,15,15,,15,,15
15,HVBCES,1.23k,,250.0u,,,16,16,,16,,16
16,VFEC,0.28,0.42,100.0u,0.0p,,17,18,17,17,17,17
18,VFEC,1.05,1.4,4.0,0.0p,,19,20,19,19,19,19
20,HVFEC,2.2,2.8,40.0,0.0p,RV,21,22,21,21,21,21
22,HVICES,,1.5u,1.2k,,,23,,23,23,,23
23,ISGS,,90n,20.0,,,24,,24,24,,24
24,ISGS,,90n,20.0,,RV,25,,25,25,,25
