,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,4.5,,40.0m,0.0p,,2,3,,2,2,2
3,ISGS,,100u,40.0,,,4,,4,4,,4
4,ISGS,,100u,40.0,,RV,5,,5,5,,5
5,VTH,4.5,7.5,40.0m,0.0p,,6,7,6,6,6,6
7,ABSDEL,,0.1,2.0,6.0,,8,,8,8,8,8
8,ISGS,,90n,25.0,,,9,,9,9,,9
9,ISGS,,90n,25.0,,RV,10,,10,10,,10
10,HVICES,,1u,810.0,,,11,,11,11,,11
11,HVICES,,1u,1.01k,,,12,,12,12,,12
12,HVICES,,1.5u,1.21k,,,13,,13,13,,13
13,ABSDEL,,0.5u,12.0,11.0,,14,,14,14,14,14
14,ABSDEL,,0.7u,13.0,11.0,,15,,15,15,15,15
15,HVBCES,1.21k,,250.0u,,,16,16,,16,,16
16,HVBCES,1.21k,,1.0m,,,17,17,,17,,17
17,HVBCES,1.21k,,250.0u,,,18,18,,18,,18
18,HVBCES,1.21k,,250.0u,,,19,19,,19,,19
19,HVDSON,1.7,2.2,40.0,15.0,,20,21,20,20,20,20
21,VFEC,0.25,0.45,100.0u,0.0p,,22,23,22,22,22,22
23,VFEC,0.95,1.45,4.0,0.0p,,24,25,24,24,24,24
25,HVFEC,1.7,2.9,40.0,0.0p,RV,26,27,26,26,26,26
27,HVICES,,1.5u,1.2k,,,28,,28,28,,28
28,ISGS,,90n,25.0,,,29,,29,29,,29
29,ISGS,,90n,25.0,,RV,30,,30,30,,30
