,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,5,7.5,4.0m,0.0p,,2,3,2,2,2,2
3,ISGS,,100u,40.0,,,4,,4,4,,4
4,ISGS,,100u,40.0,,RV,5,,5,5,,5
5,VTH,5,7.5,4.0m,0.0p,,6,7,6,6,6,6
7,ABSDEL,,0.1,2.0,6.0,,8,,8,8,8,8
8,ICES,,1u,450.0,,,9,,9,9,,9
9,ICES,,1u,550.0,,,10,,10,10,,10
10,ICES,,1u,660.0,,,11,,11,11,,11
11,ABSDEL,,0.5u,10.0,9.0,,12,,12,12,12,12
12,ABSDEL,,0.7u,11.0,9.0,,13,,13,13,13,13
13,BVCES,660,,250.0u,,,14,14,,14,,14
14,BVCES,660,,1.0m,,,15,15,,15,,15
15,BVCES,660,,250.0u,,,16,16,,16,,16
16,BVCES,660,,250.0u,,,17,17,,17,,17
17,HVDSON,1.5,1.9,40.0,15.0,,18,19,18,18,18,18
19,VFEC,0.3,0.5,100.0u,0.0p,,20,21,20,20,20,20
21,VFEC,1,1.4,4.0,0.0p,,22,23,22,22,22,22
23,HVFEC,1.8,3.5,40.0,0.0p,RV,24,25,24,24,24,24
25,ICES,,2u,650.0,,,26,,26,26,,26
26,ISGS,,90n,20.0,,,27,,27,27,,27
27,ISGS,,90n,20.0,,RV,28,,28,28,,28
