,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,3.25,7.35,500.0u,0.0p,,2,3,2,2,2,2
3,ISGS,,100u,40.0,,,4,,4,4,,4
4,ISGS,,100u,40.0,,RV,5,,5,5,,5
5,VTH,4.25,6.35,500.0u,0.0p,,6,7,6,6,6,6
7,ABSDEL,,0.1,6.0,2.0,,8,,8,8,8,8
8,ISGS,,90n,20.0,,,9,,9,9,,9
9,ISGS,,90n,20.0,,RV,10,,10,10,,10
10,ICES,,1u,550.0,,,11,,11,11,,11
11,ICES,,1u,660.0,,,12,,12,12,,12
12,ABSDEL,,0.7u,12.0,11.0,,13,,13,13,13,13
13,BVCES,660,,250.0u,,,14,14,,14,,14
14,BVCES,680,,1.0m,,,15,15,,15,,15
15,BVCES,660,,250.0u,,,16,16,,16,,16
16,BVCES,660,,250.0u,,,17,17,,17,,17
17,ABSDEL,,30,15.0,14.0,,18,,18,18,18,18
18,HVDSON,1.45,2.05,50.0,15.0,,19,20,19,19,19,19
20,VFEC,0.25,0.45,100.0u,0.0p,,21,22,21,21,21,21
22,VFEC,0.9,1.3,5.0,0.0p,,23,24,23,23,23,23
24,HVFEC,1.6,2.4,50.0,0.0p,RV,25,26,25,25,25,25
26,ICES,,1u,650.0,,,27,,27,27,,27
27,ISGS,,90n,20.0,,,28,,28,28,,28
28,ISGS,,90n,20.0,,RV,29,,29,29,,29
