,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,5,7.5,7.5m,0.0p,,2,3,2,2,2,2
3,ISGS,,100u,40.0,,,4,,4,4,,4
4,ISGS,,100u,40.0,,RV,5,,5,5,,5
5,VTH,5,7.5,7.5m,0.0p,,6,7,6,6,6,6
7,ABSDEL,,0.1,2.0,6.0,,8,,8,8,8,8
8,ISGS,,90n,20.0,,,9,,9,9,,9
9,ISGS,,90n,20.0,,RV,10,,10,10,,10
10,ICES,,1u,410.0,,,11,,11,11,,11
11,ICES,,1u,510.0,,,12,,12,12,,12
12,ICES,,1u,610.0,,,13,,13,13,,13
13,ABSDEL,,0.5u,12.0,11.0,,14,,14,14,14,14
14,ABSDEL,,0.7u,13.0,11.0,,15,,15,15,15,15
15,BVCES,610,,250.0u,,,16,16,,16,,16
16,BVCES,610,,1.0m,,,17,17,,17,,17
17,BVCES,610,,250.0u,,,18,18,,18,,18
18,BVCES,610,,250.0u,,,19,19,,19,,19
19,HVDSON,1,1.45,40.0,15.0,,20,21,20,20,20,20
21,HVDSON,1.4,1.6,75.0,15.0,,22,25,24,22,22,22
25,VFEC,0.15,0.55,100.0u,0.0p,,26,27,26,26,26,26
27,VFEC,0.7,1.3,7.5,0.0p,,28,29,28,28,28,28
29,HVFEC,1.1,2.2,75.0,0.0p,RV,30,31,30,30,30,30
31,ICES,,1u,600.0,,,32,,32,32,,32
32,ISGS,,90n,20.0,,,33,,33,33,,33
33,ISGS,,90n,20.0,,RV,34,,34,34,,34
