,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,3.25,7.35,1.0m,0.0p,,2,3,2,2,2,2
3,ISGS,,100u,40.0,,,4,,4,4,,4
4,ISGS,,100u,40.0,,RV,5,,5,5,,5
5,VTH,4.65,6.35,7.5m,0.0p,,6,7,6,6,6,6
7,ABSDEL,,0.6,2.0,6.0,,8,,8,8,8,8
8,BVCES,700,,250.0u,,,9,9,,9,,9
10,BVCES,700,,1.0m,,,11,11,,11,,11
12,BVCES,700,,250.0u,,,13,13,,13,,13
14,BVCES,700,,250.0u,,,15,15,,15,,15
16,ABSDEL,,30,11.0,9.0,,17,,17,17,17,17
17,ICES,,1u,550.0,,,18,,18,18,,18
18,ICES,,1u,660.0,,,19,,19,19,,19
19,ABSDEL,,0.7u,19.0,18.0,,20,,20,20,20,20
20,HVDSON,1.55,1.95,75.0,15.0,,21,22,21,21,21,21
22,VFEC,0.15,0.55,100.0u,0.0p,,23,24,23,23,23,23
24,VFEC,0.6,1.4,7.5,0.0p,,25,26,25,25,25,25
26,HVFEC,1.5,1.9,75.0,0.0p,RV,27,28,27,27,27,27
28,ICES,,1u,650.0,,,29,,29,29,,29
29,ISGS,,90n,20.0,,,30,,30,30,,30
30,ISGS,,90n,20.0,,RV,31,,31,31,,31
