,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,4.5,,4.0m,0.0p,,2,3,,2,2,2
3,ISGS,,0.1m,42.0,,,4,,4,4,,4
4,ISGS,,0.1m,42.0,,RV,5,,5,5,,5
5,ISGS,,100n,25.0,,,6,,6,6,,6
6,ISGS,,100n,25.0,,RV,7,,7,7,,7
7,VTH,4.5,7,4.0m,0.0p,,8,9,8,8,8,8
9,ABSDEL,,0.1,2.0,8.0,,10,,10,10,10,10
10,ICES,,1u,600.0,,,11,,11,11,,11
11,BVCES,610,,250.0u,,,12,12,,12,,12
13,BVCES,610,,1.0m,,,14,14,,14,,14
25,ABSDEL,,30,12.0,14.0,,26,,26,26,26,26
34,VDSON,0.3,1.5,4.0,15.0,,35,36,35,35,35,35
38,HVDSON,1.5,2.1,40.0,15.0,,39,40,39,39,39,39
40,VFEC,0.15,0.55,100.0u,0.0p,,41,42,41,41,41,41
42,VFEC,0.7,1.3,4.0,0.0p,,43,44,43,43,43,43
46,HVFEC,1.1,2.2,40.0,0.0p,RV,47,48,47,47,47,47
48,ICES,,1u,600.0,,,49,,49,49,,49
49,ISGS,,100n,25.0,,,50,,50,50,,50
50,ISGS,,100n,25.0,,RV,51,,51,51,,51
